GENE_SYMBOL	ASSOC_REFERENCE_YEAR	N	cumulative_trials
APOC3	2003	7	7
APOC3	2005	12	19
APOC3	2006	11	30
APOC3	2007	3	33
APOC3	2008	10	43
APOC3	2009	6	49
APOC3	2011	4	53
APOC3	2012	4	57
APOC3	2014	4	61
APOC3	2015	11	72
APOC3	2016	10	82
APOC3	2017	13	95
APOC3	2018	6	101
APOC3	2019	4	105
APOC3	2020	2	107
APOC3	2021	16	123
APOC3	2022	11	134
APOC3	2023	2	136
APOC3	2024	5	141
BTK	2009	1	1
BTK	2011	7	8
BTK	2012	12	20
BTK	2013	21	41
BTK	2014	11	52
BTK	2015	19	71
BTK	2016	17	88
BTK	2017	21	109
BTK	2018	15	124
BTK	2019	9	133
BTK	2020	8	141
BTK	2021	20	161
BTK	2022	6	167
BTK	2023	5	172
BTK	2024	2	174
CACNA1C	2014	2	2
CACNA1C	2018	6	8
CACNA1C	2019	1	9
CACNA1C	2021	2	11
CHRM3	2007	5	5
CSF1R	2005	4	4
CSF1R	2006	3	7
CSF1R	2008	2	9
CSF1R	2014	1	10
CSF1R	2016	3	13
CSF1R	2017	13	26
CSF1R	2018	2	28
CSF1R	2019	1	29
CSF1R	2020	5	34
CSF1R	2021	7	41
CSF1R	2022	2	43
CSF1R	2023	3	46
CSF1R	2024	4	50
CTSC	2014	1	1
CTSC	2021	1	2
DCK	2006	2	2
DCK	2007	1	3
DCK	2011	4	7
DCK	2012	2	9
DCK	2013	7	16
DCK	2016	3	19
DCK	2019	3	22
DCK	2021	1	23
DRD2	2002	2	2
DRD2	2007	3	5
DRD2	2008	6	11
DRD2	2010	3	14
DRD2	2011	3	17
DRD2	2012	2	19
DRD2	2013	1	20
DRD2	2014	2	22
DRD2	2015	3	25
DRD2	2016	1	26
DRD2	2017	5	31
DRD2	2018	7	38
DRD2	2019	3	41
DRD2	2020	1	42
DRD2	2021	4	46
DRD2	2022	3	49
DRD2	2023	5	54
DRD2	2024	3	57
DRD3	2009	2	2
DRD3	2010	1	3
DRD3	2013	1	4
DRD3	2015	2	6
DRD3	2016	3	9
DRD3	2022	1	10
EDNRA	2008	1	1
EDNRA	2014	1	2
EDNRA	2016	3	5
EDNRA	2017	3	8
EDNRA	2018	1	9
EDNRA	2020	3	12
EDNRA	2022	1	13
EGFR	2000	2	2
EGFR	2001	14	16
EGFR	2002	49	65
EGFR	2003	43	108
EGFR	2004	33	141
EGFR	2005	68	209
EGFR	2006	85	294
EGFR	2007	52	346
EGFR	2008	59	405
EGFR	2009	104	509
EGFR	2010	90	599
EGFR	2011	110	709
EGFR	2012	130	839
EGFR	2013	153	992
EGFR	2014	173	1165
EGFR	2015	131	1296
EGFR	2016	164	1460
EGFR	2017	169	1629
EGFR	2018	156	1785
EGFR	2019	184	1969
EGFR	2020	182	2151
EGFR	2021	279	2430
EGFR	2022	241	2671
EGFR	2023	221	2892
EGFR	2024	321	3213
ERBB2	1999	1	1
ERBB2	2000	11	12
ERBB2	2001	3	15
ERBB2	2002	52	67
ERBB2	2003	9	76
ERBB2	2004	34	110
ERBB2	2005	43	153
ERBB2	2006	29	182
ERBB2	2007	27	209
ERBB2	2008	21	230
ERBB2	2009	42	272
ERBB2	2010	48	320
ERBB2	2011	41	361
ERBB2	2012	40	401
ERBB2	2013	46	447
ERBB2	2014	57	504
ERBB2	2015	71	575
ERBB2	2016	56	631
ERBB2	2017	64	695
ERBB2	2018	86	781
ERBB2	2019	105	886
ERBB2	2020	114	1000
ERBB2	2021	104	1104
ERBB2	2022	107	1211
ERBB2	2023	97	1308
ERBB2	2024	78	1386
ESR1	1999	1	1
ESR1	2000	2	3
ESR1	2003	1	4
ESR1	2005	2	6
ESR1	2006	11	17
ESR1	2007	4	21
ESR1	2008	5	26
ESR1	2009	7	33
ESR1	2010	11	44
ESR1	2011	13	57
ESR1	2012	12	69
ESR1	2013	7	76
ESR1	2014	16	92
ESR1	2015	18	110
ESR1	2016	28	138
ESR1	2017	28	166
ESR1	2018	21	187
ESR1	2019	15	202
ESR1	2020	21	223
ESR1	2021	22	245
ESR1	2022	14	259
ESR1	2023	36	295
ESR1	2024	20	315
F12	2010	1	1
F12	2011	3	4
F12	2016	2	6
F12	2017	7	13
F12	2018	1	14
F12	2019	5	19
F12	2020	7	26
F12	2021	2	28
F12	2022	2	30
F12	2023	2	32
F12	2024	1	33
FCGRT	2009	2	2
FCGRT	2019	1	3
FCGRT	2021	1	4
FCGRT	2023	1	5
FCGRT	2024	1	6
IL5	2002	3	3
IL5	2003	1	4
IL5	2004	1	5
IL5	2005	14	19
IL5	2006	5	24
IL5	2007	7	31
IL5	2008	15	46
IL5	2009	27	73
IL5	2010	16	89
IL5	2011	14	103
IL5	2012	14	117
IL5	2013	31	148
IL5	2014	21	169
IL5	2015	31	200
IL5	2016	40	240
IL5	2017	40	280
IL5	2018	36	316
IL5	2019	110	426
IL5	2020	116	542
IL5	2021	86	628
IL5	2022	98	726
IL5	2023	79	805
IL5	2024	74	879
JAK1	2004	2	2
JAK1	2009	2	4
JAK1	2017	2	6
JAK1	2018	5	11
JAK1	2020	3	14
JAK1	2021	9	23
JAK1	2022	3	26
JAK1	2023	2	28
JAK1	2024	14	42
JAK2	2002	1	1
JAK2	2007	8	9
JAK2	2008	6	15
JAK2	2009	15	30
JAK2	2010	8	38
JAK2	2011	7	45
JAK2	2012	9	54
JAK2	2013	4	58
JAK2	2014	8	66
JAK2	2015	3	69
JAK2	2016	6	75
JAK2	2017	13	88
JAK2	2018	6	94
JAK2	2019	29	123
JAK2	2020	18	141
JAK2	2021	12	153
JAK2	2022	13	166
JAK2	2023	6	172
JAK2	2024	33	205
JAK3	1999	2	2
JAK3	2008	1	3
JAK3	2009	2	5
JAK3	2011	5	10
JAK3	2012	2	12
JAK3	2013	3	15
JAK3	2015	3	18
JAK3	2016	3	21
JAK3	2017	2	23
JAK3	2018	4	27
JAK3	2020	4	31
JAK3	2021	12	43
JAK3	2022	9	52
JAK3	2023	1	53
JAK3	2024	3	56
KLKB1	2019	6	6
KLKB1	2020	2	8
KLKB1	2022	6	14
MAP2K1	2004	2	2
MAP2K1	2005	12	14
MAP2K1	2007	3	17
MAP2K1	2008	1	18
MAP2K1	2010	3	21
MAP2K1	2011	5	26
MAP2K1	2012	10	36
MAP2K1	2013	1	37
MAP2K1	2014	9	46
MAP2K1	2015	6	52
MAP2K1	2016	13	65
MAP2K1	2017	8	73
MAP2K1	2018	8	81
MAP2K1	2019	13	94
MAP2K1	2020	8	102
MAP2K1	2021	12	114
MAP2K1	2022	7	121
MAP2K1	2023	12	133
MAP2K1	2024	4	137
MAP2K2	2012	1	1
MAP2K2	2014	3	4
MAP2K2	2018	1	5
MASP2	2016	2	2
MASP2	2020	3	5
MASP2	2024	1	6
MEN1	1999	7	7
MEN1	2008	2	9
MEN1	2017	8	17
MEN1	2019	8	25
MEN1	2023	5	30
MET	2004	2	2
MET	2008	4	6
MET	2009	27	33
MET	2010	19	52
MET	2011	8	60
MET	2012	39	99
MET	2013	26	125
MET	2014	32	157
MET	2015	64	221
MET	2016	17	238
MET	2017	15	253
MET	2018	19	272
MET	2019	22	294
MET	2020	40	334
MET	2021	22	356
MET	2022	15	371
MET	2023	20	391
MET	2024	7	398
MYBPC3	2014	1	1
MYBPC3	2021	4	5
MYBPC3	2022	6	11
MYBPC3	2023	7	18
MYBPC3	2024	4	22
NTRK1	2002	1	1
NTRK1	2012	2	3
NTRK1	2015	29	32
NTRK1	2016	3	35
NTRK1	2017	24	59
NTRK1	2018	14	73
NTRK1	2019	5	78
NTRK1	2020	3	81
NTRK1	2022	4	85
NTRK1	2023	2	87
NTRK2	2004	1	1
NTRK2	2009	1	2
NTRK2	2010	3	5
NTRK2	2011	1	6
NTRK2	2015	29	35
NTRK2	2016	2	37
NTRK2	2017	24	61
NTRK2	2018	1	62
NTRK2	2019	2	64
NTRK2	2022	6	70
NTRK2	2023	4	74
NTRK2	2024	10	84
NTRK3	2015	29	29
NTRK3	2017	26	55
PAH	2011	2	2
PAH	2013	4	6
PAH	2015	2	8
PAH	2018	1	9
PAH	2020	1	10
PCSK9	2007	1	1
PCSK9	2009	1	2
PCSK9	2010	5	7
PCSK9	2012	2	9
PCSK9	2013	6	15
PCSK9	2014	4	19
PCSK9	2015	7	26
PCSK9	2016	16	42
PCSK9	2017	15	57
PCSK9	2018	11	68
PCSK9	2019	16	84
PCSK9	2020	14	98
PCSK9	2021	18	116
PCSK9	2022	31	147
PCSK9	2023	18	165
PCSK9	2024	43	208
PDCD1	2008	1	1
PDCD1	2009	1	2
PDCD1	2010	11	13
PDCD1	2011	20	33
PDCD1	2012	59	92
PDCD1	2013	12	104
PDCD1	2014	29	133
PDCD1	2015	73	206
PDCD1	2016	130	336
PDCD1	2017	183	519
PDCD1	2018	188	707
PDCD1	2019	293	1000
PDCD1	2020	266	1266
PDCD1	2021	278	1544
PDCD1	2022	185	1729
PDCD1	2023	198	1927
PDCD1	2024	218	2145
PDE4B	2007	6	6
PDE4B	2012	2	8
PDE4B	2014	1	9
PDE4B	2017	3	12
PDE4B	2019	2	14
PDE4B	2023	3	17
PDE4B	2024	3	20
PTK2	2007	22	22
PTK2	2008	3	25
PTK2	2010	1	26
PTK2	2012	4	30
PTK2	2013	3	33
PTK2	2015	1	34
PTK2	2016	3	37
PTK2	2019	2	39
PTK2	2020	2	41
PTK2	2023	1	42
PTK2B	2004	2	2
PTK2B	2005	2	4
PTK2B	2008	1	5
PTK2B	2023	1	6
ROS1	2010	2	2
ROS1	2012	2	4
ROS1	2013	2	6
ROS1	2014	7	13
ROS1	2015	36	49
ROS1	2016	14	63
ROS1	2017	30	93
ROS1	2018	8	101
ROS1	2019	9	110
ROS1	2020	13	123
ROS1	2021	13	136
ROS1	2022	9	145
ROS1	2023	16	161
ROS1	2024	13	174
SCN10A	2014	2	2
SCN10A	2016	1	3
SCN10A	2018	2	5
SCN10A	2023	4	9
SERPINC1	2007	1	1
SERPINC1	2009	3	4
SERPINC1	2010	7	11
SERPINC1	2011	5	16
SERPINC1	2012	15	31
SERPINC1	2013	3	34
SERPINC1	2014	12	46
SERPINC1	2015	1	47
SERPINC1	2016	9	56
SERPINC1	2017	4	60
SERPINC1	2019	7	67
SERPINC1	2020	6	73
SERPINC1	2021	15	88
SERPINC1	2022	2	90
SERPINC1	2023	7	97
SERPINC1	2024	4	101
SSTR2	2010	1	1
SSTR2	2011	4	5
SSTR2	2013	1	6
SSTR2	2014	6	12
SSTR2	2015	3	15
SSTR2	2016	6	21
SSTR2	2017	2	23
SSTR2	2018	7	30
SSTR2	2019	24	54
SSTR2	2020	9	63
SSTR2	2021	10	73
SSTR2	2022	24	97
SSTR2	2023	12	109
SSTR2	2024	6	115
TACR1	2016	1	1
TACR1	2020	5	6
TACR1	2024	7	13
TACR3	2016	1	1
TACR3	2023	1	2
TACSTD2	2015	1	1
TACSTD2	2018	7	8
TACSTD2	2019	7	15
TACSTD2	2020	2	17
TACSTD2	2021	1	18
TACSTD2	2022	11	29
TACSTD2	2023	7	36
TACSTD2	2024	13	49
TK1	2004	2	2
TK1	2006	3	5
TK1	2007	1	6
TK1	2009	12	18
TK1	2010	1	19
TK1	2013	2	21
TK1	2015	2	23
TK1	2017	2	25
TK1	2018	2	27
TK1	2019	8	35
TK1	2021	1	36
TK1	2022	6	42
TK1	2024	6	48
TNFRSF17	2009	2	2
TNFRSF17	2015	4	6
TNFRSF17	2016	2	8
TNFRSF17	2017	19	27
TNFRSF17	2018	20	47
TNFRSF17	2019	24	71
TNFRSF17	2020	44	115
TNFRSF17	2021	18	133
TNFRSF17	2022	33	166
TNFRSF17	2023	33	199
TNFRSF17	2024	70	269
TNFSF13	2009	4	4
TNFSF13	2017	4	8
TNFSF13	2024	1	9
TRPM8	2007	1	1
TRPM8	2010	3	4
TYK2	2020	1	1
TYK2	2021	5	6
TYK2	2022	3	9
TYK2	2023	2	11
