https://www.nature.com/articles/d41573-026-00001-z			
Table 1 | CDER approvals in 2025			
Drug (brand name)	Sponsor	Properties	Indication
Datopotamab deruxtecan (Datroway)a	Daiichi Sankyo	TROP2-targeted ADC; topoisomerase inhibitor payload	HR-positive, HER2-negative breast cancer
Treosulfan (Grafapex)	Medexus	DNA alkylating drug	Preparative regimen for haematopoietic stem cell transplantation for cancers
Suzetrigine (Journavx)	Vertex	NaV1.8 inhibitor	Acute pain
Mirdametinib (Gomekli)	Springworks/Merck KGaA	MEK1/2 kinase inhibitor	Neurofibromatosis type 1
Vimseltinib (Romvimza)	Deciphera/Ono	CSF1R kinase inhibitor	Tenosynovial giant cell tumours
Gepotidacin (Blujepa)	GSK	Triazaacenaphthylene bacterial type II topoisomerase inhibitor	Uncomplicated urinary tract infections
Fitusiran (Qfitlia)	Genzyme/Sanofi	Antithrombin-targeted siRNA	Bleeding episodes in haemophilia A or B
Atrasentan (Vanrafia)	Novartis	Endothelin receptor antagonist	Proteinuria in adults with primary IgAN
Penpulimab (Penpulimab)a	Akeso Biopharma	PD1-targeted mAb	Nasopharyngeal carcinoma
Nipocalimab (Imaavy)a	Janssen/J&J	Neonatal Fc receptor-targeted mAb	Generalized myasthenia gravis
Avutometinib plus defactinib (Avmapki Fakzynja Co-Pack)	Verastem	MEK1 inhibitor plus FAK kinase inhibitor	KRAS-mutated recurrent low-grade serous ovarian cancer
Telisotuzumab vedotin (Emrelis)a	AbbVie	c-Met-targeted ADC; microtubule inhibitor payload	Non-squamous NSCLC with high c-Met protein overexpression
Acoltremon (Tryptyr)	Alcon Labs	TRPM8 thermoreceptor agonist	Dry eye disease
Clesrovimab (Enflonsia)a	Merck & Co.	RSV fusion protein-targeted mAb	RSV lower respiratory tract disease prevention in neonates and infants
Taletrectinib (Ibtrozi)	Nuvation	ROS1 kinase inhibitor	ROS1-positive NSCLC
Garadacimab (Andembry)a	CSL Behring	Activated factor XII-targeted mAb	Hereditary angioedema prevention
Linvoseltamab (Lynozyfic)a	Regeneron	BCMA Ã— CD3 bispecific T cell engager	Multiple myeloma
Sunvozertinib (Zegfrovy)	Dizal Jiangsu	EGFR kinase inhibitor	NSCLC with EGFR exon 20 mutations
Sebetralstat (Ekterly)	Kalvista	Plasma kallikrein inhibitor	Hereditary angioedema attacks
Delgocitinib (Anzupgo)	Leo Pharma	Janus kinase inhibitor	Hand eczema
Sepiapterin (Sephience)	PTC	Phenylalanine hydroxylase activator	Hyperphenylalaninemia
Aceclidine (Vizz)	Lenz	Cholinergic agonist	Presbyopia
Dordaviprone (Modeyso)	Chimerix/Jazz	ClpP protease activator	Diffuse midline glioma with H3 K27M mutations
Zongertinib (Hernexeos)	Boehringer Ingelheim	HER2 kinase inhibitor	Non-squamous NSCLC with HER2 activating mutations
Brensocatib (Brinsupri)	Insmed	DPP1 inhibitor	Non-cystic fibrosis bronchiectasis
Donidalorsen (Dawnzera)	Ionis	Prekallikrein-targeted ASO	Hereditary angioedema prevention
Rilzabrutinib (Wayrilz)	Genzyme/Sanofi	BTK kinase inhibitor	Immune thrombocytopenia
Pembrolizumab plus berahyaluronidase alfa (Keytruda Qlex)a	Merck & Co.	PD1-targeted mAb and an endoglycosidase to enable subcutaneous delivery	Solid tumours approved for the intravenous formulation of pembrolizumab
Elamipretide (Forzinity)	Stealth	Mitochondrial cardiolipin binder	Muscle strength in Barth syndrome
Imlunestrant (Inluriyo)	Eli Lilly	Selective oestrogen receptor degrader	ER-positive, EGFR2-negative, ER1-mutated breast cancer
Paltusotine (Palsonify)	Crinetics	Somatostatin receptor agonist	Acromegaly
Remibrutinib (Rhapsido)	Novartis	BTK kinase inhibitor	Spontaneous urticaria
Nerandomilast (Jascayd)	Boehringer Ingelheim	PDE4 inhibitor	Idiopathic pulmonary fibrosis
Elinzanetant (Lynkuet)	Bayer Healthcare	NK1 and NK3 receptor antagonist	Vasomotor symptoms due to menopause
Doxecitine plus doxribtimine (Kygevvi)	UCB	Pyrimidine nucleosides	Thymidine kinase 2 deficiency
Ziftomenib (Komzifti)	Kura	Menin inhibitor	AML with a susceptible NPM1 mutation
Plozasiran (Redemplo)	Arrowhead	ApoC-III-targeted siRNA	Triglycerides in familial chylomicronemia syndrome
Sevabertinib (Hyrnuo)	Bayer Healthcare	HER2 kinase inhibitor	Non-squamous NSCLC with HER2 activating mutations
Sibeprenlimab (Voyxact) a	Otsuka	APRIL-targeted mAb	Proteinuria in primary IgAN
Lerodalcibep (Lerochol)a	LIB Therapeutics	PCSK9-targeted adnectin	LDL-C-lowering in hypercholesterolaemia
Etripamil (Cardamyst)	Milestone	Calcium channel blocker	Paroxysmal supraventricular tachycardia
Zoliflodacin (Nuzolvence)	Entasis/Innoviva	Spiropyrimidinetrione bacterial type II topoisomerase inhibitor	Urogenital gonorrhea due to Neisseria gonorrhoeae
Depemokimab (Exdensur)a	GSK	IL-5-targeted mAb	Severe asthma, eosinophilic phenotype
Aficamten (Myqorzo)	Cytokinetics	Cardiac myosin inhibitor	Obstructive hypertrophic cardiomyopathy
Narsoplimab (Yartemlea)a,b	Omeros	MASP2-directed mAb	Haematopoietic stem cell transplant-associated thrombotic microangiopathy
Tradipitant (Nereus)b	Vanda	NK1 receptor antagonist	Vomiting induced by motion